Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Land Cover,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged ,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Glide No,Source Website,Notes,,,,
HYDRO-19051110-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,1992,11,10,1992,11,15,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,1,6000,All ,Montenegro (Mojkovac),N/A,N/A,N/A,N/A,Tailings dam (Mojkovac lead & zinc mine): ≈150 m section damaged,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?eventid=712&episodeid=1&eventtype=FL,"Flooding was associated with river overflow in the Tara River basin and caused damage to critical industrial infrastructure, including the Mojkovac lead and zinc mine tailings facility, where approximately 150 metres of the tailings dam structure were damaged during the floods.",,,,
HYDRO-19051121-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2023,11,21,2023,11,23,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,All ,Rozaje,N/A,30,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?eventid=1102349&episodeid=1&eventtype=FL,No records found other than gdacs and one local journal,,,,
HYDRO-19051004-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,10,4,2024,10,6,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,N/A,Montenegro,N/A,30,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?eventid=1102349&episodeid=1&eventtype=FL,No records found other than gdacs,,,,
HYDRO-19051118-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2025,11,18,2025,11,20,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,N/A,Montenegro,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?episodeid=1&eventid=1103619&eventtype=FL,10 VEHICLES DAMAGED,,,,
MET-19050808-WBTC-MNE-0001,MeteorologicalHazards,Fires,ForestFires,fire,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,8,2021,8,24,Summer,18/12/2025,22/12/2025,15516,Hectar,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,Forest,"Nikšić, Cetinje",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1001926,"Large-scale forest fires affected central and southern Montenegro between 8–24 August 2021. According to GDACS and GWIS satellite data, approximately 15,516 hectares of forest and shrubland burned. No fatalities or confirmed damage to houses or infrastructure were reported.",,,,
MET-19050809-WBTC-MNE-0001,MeteorologicalHazards,Fires,ForestFires,fire,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,9,2021,8,24,Summer,18/12/2025,22/12/2025,5560,Hectar,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,Forest,"Plužine, Šavnik",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1002060&episodeid=1,"Separate wildfire episode in northern Montenegro during August 2021. GWIS satellite observations indicate approximately 5,560 hectares of forested and mountainous land burned. Impacts were largely limited to natural land cover, with no reported casualties or structural damage.",,,,
HYDRO-19051126-WBTC-MNE-0001,HydrologicalHazards,Floods,FlashFlood,flood,MNE,1,1,International Federation of Red Cross and Red Crescent Societies (IFRC),Very High,2007,11,26,2007,11,29,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,1086,All ,"Berane, Andrijvica, Rozaj, Mojkovacx, Podgorica, Kolasin",N/A,179,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,FL-2007-000217-SRB,https://reliefweb.int/report/montenegro/montenegro-floods-dref-operation-no-mdrme001,3500 displaced,,,,
BIO-19050301-WBTC-MNE-0001,BiologicalHazards,Epidemic,Viral Epidemic,epidemic,MNE,1,1,World Health Organization (WHO),Very High,2020,3,1,2022,1,1,Spring,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,"2,682",230363,All ,National,"1,100,000 – 1,400,000",0,N/A,N/A,N/A,Yes,1003,"1,679",N/A,N/A,N/A,EP-2020-000012-MNE,https://www.worldometers.info/coronavirus/country/montenegro/?utm_source=chatgpt.com,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
