Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Source Website,Complementary Sources,
MET-19050703-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,7,3,2021,7,4,Summer,1/6/2026,1/30/2026,5853,Hectar,Central Asia,Kazakhstan,N/A,N/A,Aktyubinsk,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1000696&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050703-CA-KAZ-0002,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,7,3,2021,7,4,Summer,1/6/2026,1/30/2026,9875,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Kokchetav, Asku, Bestobe",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,http://gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1000507&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050704-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,7,4,2021,7,8,Summer,1/6/2026,1/30/2026,6734,Hectar,Central Asia,Kazakhstan,N/A,N/A,Dzhezkazgan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1000686&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050720-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,7,20,2021,7,21,Summer,1/6/2026,1/30/2026,6122,Hectar,Central Asia,Kazakhstan,N/A,N/A,Pavlodar,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1001115&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050721-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,7,21,2021,7,27,Summer,1/6/2026,1/30/2026,21188,Hectar,Central Asia,Kazakhstan,N/A,N/A,Dzhezkazgan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1001347&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050801-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,1,2021,8,1,Summer,1/6/2026,1/30/2026,8835,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Kachiry, Pavlodar, Yermak, Irtyshsk",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1001741&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050801-CA-KAZ-0002,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,1,2021,8,1,Summer,1/6/2026,1/30/2026,5929,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Semipalatinsk, Ayaguz",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1001744&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050803-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,3,2021,8,5,Summer,1/6/2026,1/30/2026,10337,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Aktyubinsk, Dombarovskiy, Khromtau",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1001796&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050804-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,4,2021,8,5,Summer,1/6/2026,1/30/2026,6642,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Dzhezkazgan,Dzhezdy, Karsakpay",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1001791&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050805-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,5,2021,8,6,Summer,1/6/2026,1/30/2026,10106,Hectar,Central Asia,Kazakhstan,N/A,N/A,Aktyubinsk ,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1001764&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050805-CA-KAZ-0002,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,5,2021,8,6,Summer,1/6/2026,1/30/2026,5658,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Semipalatinsk, Ucharal, Urdzhar, Dzerzhinskoye, Gerasimovka",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1001782&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050909-CA-KAZ-0001,MeteorologicalHazards,Fires,WildFires,fire,KAZ,1,0.6,Glide,High,2010,9,9,2010,9,30,Autumn,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,5,1000,Altai,N/A,334,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.glidenumber.net/glide/public/search/search.jsp,https://reliefweb.int/report/kazakhstan/kazakh-forest-fires-kill-five-advance-russia,
MET-19050822-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,22,2021,8,29,Summer,1/6/2026,1/30/2026,5678,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Semipalatinsk, Urdzhar",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1002062&episodeid=2,N/A,
MET-19050825-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,25,2021,8,26,Summer,1/6/2026,1/30/2026,7318,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Tselinograd, Bestobe",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1002072&episodeid=2,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050903-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,9,3,2021,9,3,Autumn,1/6/2026,1/30/2026,5068,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Karaganda, Atasu",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1002322&episodeid=1,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050904-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,9,4,2021,9,6,Autumn,1/6/2026,1/30/2026,10193,Hectar,Central Asia,Kazakhstan,N/A,N/A,"Dzhezkazgan, Aksu Ayuly, Akchatau, Agadyr",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050915-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,9,15,2021,9,17,Autumn,1/6/2026,1/30/2026,5405,Hectar,Central Asia,Kazakhstan,N/A,N/A,Semipalatinsk,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1002422&episodeid=2,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050917-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,9,17,2021,9,18,Autumn,1/6/2026,1/30/2026,5343,Hectar,Central Asia,Kazakhstan,N/A,N/A,Dzhezkazgan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19051013-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,10,13,2021,10,19,Autumn,1/6/2026,1/30/2026,9324,Hectar,Central Asia,Kazakhstan,N/A,47,"Alma-Ata, Balkhash",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1002725&episodeid=4,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19051101-CA-KAZ-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,KAZ,1,0.6,EM-DAT,High,1997,11,1,1997,11,30,Autumn,1/6/2026,1/30/2026,-38,Celcius,Central Asia,Kazakhstan,N/A,600000,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
MET-19051218-CA-KAZ-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,KAZ,1,0.6,EM-DAT,High,2012,12,18,2013,1,30,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,5000,"Karaganda, Petropavlovsk, Semey",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
MET-19051220-CA-KAZ-0001,MeteorologicalHazards,Storm,Windstorm,storm,KAZ,1,0.6,EM-DAT,High,1995,12,20,1995,12,20,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,112,N/A,"Karaganda, Akmola",3000,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
