Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Source Website,Complementary Sources
HYDRO-19050718-SCWCIS-BLR-0001,HydrologicalHazards,Floods,RiverineFlood,flood,BLR,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,7,18,2024,7,20,Summer,22.01.2026,2/4/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,N/A,Minsk,N/A,N/A,15,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/report.aspx?eventid=1102770&episodeid=1&eventtype=FL,https://global-flood.emergency.copernicus.eu/glofas-forecasting/
HYDRO-19050717-SCWCIS-BLR-0001,HydrologicalHazards,Floods,RiverineFlood,flood,BLR,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2022,7,17,2022,7,18,Summer,22.01.2026,2/5/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,30,Gomel,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?eventid=1101541&episodeid=1&eventtype=FL,https://global-flood.emergency.copernicus.eu/glofas-forecasting/
HYDRO-19050725-SCWCIS-BLR-0001,HydrologicalHazards,Floods,RiverineFlood,flood,BLR,1,0.6,EM-DAT,High,1993,7,25,1993,8,12,Summer,22.01.2026,2/16/2026,2300,km2,South Caucasus & Western CIS,Belarus,N/A,40000,"Stolin, Luninets, Pinsk, Petrikov, Zhitkovichi, Leltchitsy, Minsk",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://floodobservatory.colorado.edu/wiki/FloodRecords
MET-19050103-SCWCIS-BLR-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,BLR,1,0.6,EM-DAT,High,2006,1,3,2006,1,30,Winter,22.01.2026,2/11/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,5,1820,Minsk,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A
MET-19050105-SCWCIS-BLR-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,BLR,1,0.6,EM-DAT,High,2017,1,5,2017,1,20,Winter,22.01.2026,2/15/2026,-31,Celcius,South Caucasus & Western CIS,Belarus,43,50539,"Vitebsk, Minsk, Gomel, Grodno, Brest, Mogilev",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://www.ifrc.org/evaluations?organisational_structure%5B%5D=6352&search_terms=&search_terms=&date_from=&date_to=&text=&search_terms=&search_terms=&search_terms=
MET-19050115-SCWCIS-BLR-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,BLR,1,0.6,EM-DAT,High,2012,1,15,2012,2,30,Winter,22.01.2026,2/12/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,130,"Vitebsk, Miory, Glubokoe, Polotsk, Postavy, Minsk, Stolbtsy, Molodechno, Borisov, Slutsk, Gomel, Rechista, Zhlobin, Mozyr, Lida, Slonim, Volkovysk, Grodno, Brest, Mogilev",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://www.ifrc.org/evaluations?organisational_structure%5B%5D=6352&search_terms=&search_terms=&date_from=&date_to=&text=&search_terms=&search_terms=&search_terms=
MET-19050118-SCWCIS-BLR-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,BLR,1,0.6,EM-DAT,High,2014,1,18,2014,1,29,Winter,22.01.2026,2/14/2026,-35,Celcius,South Caucasus & Western CIS,Belarus,2,31500,"Minsk, Grodno, Vitebsk, Mogilev",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://www.ifrc.org/evaluations?organisational_structure%5B%5D=6352&search_terms=&search_terms=&date_from=&date_to=&text=&search_terms=&search_terms=&search_terms=
HYDRO-19050429-SCWCIS-BLR-0001,HydrologicalHazards,Floods,RiverineFlood,flood,BLR,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2001,4,29,2001,5,1,Spring,22.01.2026,2/7/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,N/A,"Mazır, Muliarovka, Mikhalki",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/resources.aspx?eventid=1717&episodeid=1&eventtype=FL,https://floodobservatory.colorado.edu/wiki/FloodRecords
MET-19050125-SCWCIS-BLR-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,BLR,1,0.6,EM-DAT,High,2013,1,25,2013,2,30,Winter,22.01.2026,2/13/2026,-25,Celcius,South Caucasus & Western CIS,Belarus,4,11325,Belarus,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://www.ifrc.org/evaluations?organisational_structure%5B%5D=6352&search_terms=&search_terms=&date_from=&date_to=&text=&search_terms=&search_terms=&search_terms=
MET-19050501-SCWCIS-BLR-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,BLR,1,0.6,EM-DAT,High,2000,5,1,2000,5,30,Spring,22.01.2026,2/10/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,N/A,"Brest, Gomel, Grodno, Minsk, Minsk City, Mogilev, Vitebsk",30300000,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A
